model,scenario,prcp,tavg
GISS-E2-H-CC,RCP 4.5,3.388072207,1.464834353
GISS-E2-R,RCP 4.5,0.69059966,1.524355999
GISS-E2-R-CC,RCP 4.5,0.068448507,1.467847543
HadGEM2-AO,RCP 4.5,2.244801542,3.107741443
HadGEM2-CC,RCP 4.5,5.128979645,2.445746119
HadGEM2-ES,RCP 4.5,3.521811206,2.73945216
IPSL-CM5A-LR,RCP 4.5,-1.851326255,2.456227194
IPSL-CM5A-MR,RCP 4.5,-4.771439394,2.645329643
IPSL-CM5B-LR,RCP 4.5,-1.03245465,2.173586478
MIROC-ESM,RCP 4.5,1.242668048,2.817696969
MIROC-ESM-CHEM,RCP 4.5,0.771545817,2.706055285
MIROC5,RCP 4.5,1.25674124,2.600312606
MPI-ESM-LR,RCP 4.5,-7.571407785,2.076739053
MPI-ESM-MR,RCP 4.5,0.884918124,1.944615602
MRI-CGCM3,RCP 4.5,2.758310902,1.498831741
NorESM1-M,RCP 4.5,-1.163032758,2.174159029
NorESM1-ME,RCP 4.5,-0.0265078,2.237880537
bcc-csm1-1,RCP 4.5,-1.829629655,1.971386606
bcc-csm1-1-m,RCP 4.5,2.038640424,2.111517079
inmcm4,RCP 4.5,-1.854700096,0.926924284
CCSM4,RCP 6.0,-0.488955394,1.994927406
CESM1-CAM5,RCP 6.0,7.392028488,2.168158802
CSIRO-Mk3-6-0,RCP 6.0,-5.535226006,1.72903681
FIO-ESM,RCP 6.0,-8.425840954,1.236724122
GFDL-CM3,RCP 6.0,3.880771957,3.109327846
GFDL-ESM2G,RCP 6.0,-1.62359943,1.393725718
GFDL-ESM2M,RCP 6.0,1.258703508,1.200443046
GISS-E2-H,RCP 6.0,1.765832463,1.557311381
GISS-E2-R,RCP 6.0,-0.053404956,1.548863157
HadGEM2-AO,RCP 6.0,5.876943755,2.622702734
HadGEM2-ES,RCP 6.0,4.554658301,2.665708947
IPSL-CM5A-LR,RCP 6.0,1.077015641,2.498330855
IPSL-CM5A-MR,RCP 6.0,-6.043378574,2.537598854
MIROC-ESM,RCP 6.0,1.018959922,2.758994748
MIROC-ESM-CHEM,RCP 6.0,-0.046488849,2.896199553
MIROC5,RCP 6.0,4.028144285,2.311193771
MRI-CGCM3,RCP 6.0,5.520372717,1.455188188
NorESM1-M,RCP 6.0,1.920584244,1.968979175
NorESM1-ME,RCP 6.0,0.844485831,2.161136549
bcc-csm1-1,RCP 6.0,-2.285744741,2.000941449
bcc-csm1-1-m,RCP 6.0,0.872197686,2.241053286
ACCESS1-0,RCP 8.5,-1.5487807,3.676490256
ACCESS1-3,RCP 8.5,3.850860936,3.093985141
CCSM4,RCP 8.5,0.502569033,2.499736579
CESM1-BGC,RCP 8.5,-1.573305121,2.536321542
CESM1-CAM5,RCP 8.5,7.856136247,3.032984784
CMCC-CESM,RCP 8.5,5.896510135,2.692524279
CMCC-CM,RCP 8.5,0.014229894,3.361508349
CMCC-CMS,RCP 8.5,-0.03393764,3.104374386
CNRM-CM5,RCP 8.5,5.856317032,2.716881549
CSIRO-Mk3-6-0,RCP 8.5,-8.039940339,2.616298081
CanESM2,RCP 8.5,10.43529878,3.766800551
EC-EARTH,RCP 8.5,4.216543585,2.231584623
FGOALS-g2,RCP 8.5,1.831759721,2.954042343
FIO-ESM,RCP 8.5,-7.882515476,1.684265211
GFDL-CM3,RCP 8.5,0.61975397,4.247134778
GFDL-ESM2G,RCP 8.5,-4.24562546,2.144958692
GFDL-ESM2M,RCP 8.5,-6.571973042,2.00017264
GISS-E2-H,RCP 8.5,-1.798420636,2.255544486
GISS-E2-R,RCP 8.5,-2.321464036,2.069262559
HadGEM2-AO,RCP 8.5,0.464446327,3.458034227
HadGEM2-CC,RCP 8.5,3.269232886,3.663175658
HadGEM2-ES,RCP 8.5,1.321434881,3.567875538
IPSL-CM5A-LR,RCP 8.5,-1.346931317,3.501416657
IPSL-CM5A-MR,RCP 8.5,-9.026368929,3.550870934
IPSL-CM5B-LR,RCP 8.5,0.839892178,2.787678798
MIROC-ESM,RCP 8.5,4.359729066,3.519893222
MIROC-ESM-CHEM,RCP 8.5,1.369581652,3.504960809
MIROC5,RCP 8.5,4.141678381,3.070749075
MPI-ESM-LR,RCP 8.5,-9.610571471,2.675416794
MPI-ESM-MR,RCP 8.5,-2.213482088,2.565106953
MRI-CGCM3,RCP 8.5,4.71821764,2.436224418
NorESM1-M,RCP 8.5,0.400751898,2.705340468
NorESM1-ME,RCP 8.5,1.462484716,2.727857747
bcc-csm1-1,RCP 8.5,-3.100586988,2.735764925
bcc-csm1-1-m,RCP 8.5,-0.926718808,2.891463224
inmcm4,RCP 8.5,-3.344496222,1.619394711
